application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
1,Female,FALSE,3.3,Business,Asian,620,3,Financial Services,Admit
2,Male,FALSE,3.28,Humanities,Black,680,5,Investment Management,NA
3,Female,TRUE,3.3,Business,NA,710,5,Technology,Admit
4,Male,FALSE,3.47,STEM,Black,690,6,Technology,NA
5,Male,FALSE,3.35,STEM,Hispanic,590,5,Consulting,NA
6,Male,FALSE,3.18,Business,White,610,6,Consulting,NA
7,Female,FALSE,2.93,STEM,Other,590,3,Technology,Admit
8,Male,TRUE,3.02,Business,NA,630,6,Financial Services,NA
9,Male,FALSE,3.24,Business,White,590,2,Nonprofit/Gov,NA
10,Male,FALSE,3.27,Humanities,Asian,690,3,Consulting,NA
11,Male,FALSE,3.05,Humanities,White,580,5,Technology,NA
12,Male,TRUE,2.85,Humanities,NA,580,4,PE/VC,NA
13,Female,FALSE,3.24,Humanities,Hispanic,640,6,PE/VC,Waitlist
14,Female,FALSE,3.39,Business,Black,690,4,Nonprofit/Gov,NA
15,Female,FALSE,3.03,STEM,White,600,5,Technology,Admit
16,Female,TRUE,3.05,Humanities,NA,710,4,Consulting,Admit
17,Female,FALSE,3.32,Business,Asian,710,5,PE/VC,Admit
18,Male,FALSE,3.23,Humanities,Black,700,4,Health Care,NA
19,Male,FALSE,3.13,Humanities,White,630,6,Financial Services,NA
20,Male,TRUE,3.09,Business,NA,670,8,Consulting,NA
21,Male,FALSE,3.46,Business,White,760,5,Investment Banking,Admit
22,Female,FALSE,3.64,Humanities,Black,710,6,Financial Services,NA
23,Female,TRUE,3.42,Business,NA,640,6,Consulting,Admit
24,Male,FALSE,3.4,Business,White,680,6,PE/VC,NA
25,Female,FALSE,3.47,STEM,White,710,5,Consulting,Admit
26,Male,FALSE,3.26,Humanities,Asian,690,5,Technology,Admit
27,Male,TRUE,2.99,STEM,NA,640,5,Consulting,NA
28,Male,FALSE,3.39,STEM,Other,730,4,Other,NA
29,Male,FALSE,3.08,Business,Asian,570,7,Retail,NA
30,Male,TRUE,3.65,STEM,NA,700,5,Consulting,Admit
31,Male,TRUE,3.04,STEM,NA,610,4,Consulting,NA
32,Male,FALSE,3.19,Humanities,White,580,5,PE/VC,NA
33,Male,FALSE,3.33,Humanities,Black,700,6,Investment Banking,NA
